Temporada,Time_casa,Time_visitante,Placar_mand,Placar_visit,Result_mand,Ranking_mand,Ranking_visit,Valor_mand,Valor_visit,Taxa_gols_mand,Taxa_gols_visit,Vitorias_mand,Derrotas_mand,Empates_mand,Vitorias_visit,Derrotas_visit,Empates_visit,Saldo_gols_mand,Saldo_gols_visit,Aproveitamento_mand,Aproveitamento_visit
2013,Atlético Mineiro,São Paulo FC,0,0,1,11520.0,14786.0,46.1,115.8,1.0,2.3333333333333335,1.0,1.0,1.0,2.0,0.0,1.0,1.0,6.0,0.4444444444444444,0.7777777777777778
2013,São Paulo FC,Goiás,0,1,0,14786.0,9896.0,115.8,8.65,1.75,0.75,2.0,1.0,1.0,1.0,1.0,2.0,5.0,-4.0,0.5833333333333334,0.4166666666666667
2013,Criciúma - SC,Santos FC,3,1,2,4370.0,13736.0,15.1,103.75,1.5,0.75,2.0,2.0,0.0,0.0,2.0,2.0,-1.0,-3.0,0.5,0.16666666666666666
2013,Portuguesa - SP,Internacional,1,1,1,7840.0,14360.0,16.5,62.3,1.25,1.5,1.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,0.4166666666666667,0.4166666666666667
2013,Vasco da Gama,Atlético Mineiro,2,0,2,15030.0,11520.0,27.2,46.1,1.0,0.75,2.0,2.0,0.0,1.0,2.0,1.0,-3.0,-1.0,0.5,0.3333333333333333
2013,Grêmio Porto Alegre,Vitória - BA,1,0,2,14460.0,9900.0,77.65,17.88,1.0,1.75,2.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,0.5833333333333334,0.5833333333333334
2013,Ponte Preta,Athletico Paranaense,3,4,0,7600.0,11078.0,13.78,15.85,1.25,2.25,1.0,3.0,0.0,1.0,1.0,2.0,-2.0,0.0,0.25,0.4166666666666667
2013,Flamengo RJ,Náutico - PE,0,1,0,14352.0,8036.0,44.45,14.1,0.5,0.75,0.0,2.0,2.0,1.0,2.0,1.0,-3.0,-4.0,0.16666666666666666,0.3333333333333333
2013,Bahia - BA,Botafogo - RJ,2,1,2,9282.0,10622.0,24.05,36.0,1.25,1.5,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.5833333333333334,0.5833333333333334
2013,Cruzeiro,Corinthians SP,1,0,2,13096.0,15624.0,55.25,84.55,2.25,0.75,2.0,1.0,1.0,1.0,1.0,2.0,5.0,0.0,0.5833333333333334,0.4166666666666667
2013,Coritiba FC,Fluminense RJ,2,1,2,12804.0,16208.0,31.4,68.15,1.25,1.75,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.6666666666666666,0.5
2013,Criciúma - SC,Flamengo RJ,0,3,0,4370.0,14352.0,15.1,44.45,1.2,1.0,2.0,3.0,0.0,1.0,2.0,2.0,-4.0,0.0,0.4,0.3333333333333333
2013,Cruzeiro,Internacional,2,2,1,13096.0,14360.0,55.25,62.3,2.2,1.6,2.0,1.0,2.0,1.0,1.0,3.0,5.0,1.0,0.5333333333333333,0.4
2013,Vasco da Gama,Bahia - BA,1,1,1,15030.0,9282.0,27.2,24.05,1.0,1.2,2.0,2.0,1.0,2.0,1.0,2.0,-3.0,0.0,0.4666666666666667,0.5333333333333333
2013,Corinthians SP,Portuguesa - SP,0,0,1,15624.0,7840.0,84.55,16.5,0.6,1.0,1.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,0.4,0.4
2013,Ponte Preta,Botafogo - RJ,0,2,0,7600.0,10622.0,13.78,36.0,1.0,1.6,1.0,4.0,0.0,3.0,1.0,1.0,-4.0,3.0,0.2,0.6666666666666666
2013,Fluminense RJ,Goiás,2,1,2,16208.0,9896.0,68.15,8.65,1.8,0.8,3.0,2.0,0.0,1.0,2.0,2.0,3.0,-5.0,0.6,0.3333333333333333
2013,Vitória - BA,Athletico Paranaense,3,2,2,9900.0,11078.0,17.88,15.85,2.0,2.2,3.0,1.0,1.0,1.0,2.0,2.0,5.0,-1.0,0.6666666666666666,0.3333333333333333
2013,Coritiba FC,Náutico - PE,1,0,2,12804.0,8036.0,31.4,14.1,1.2,0.6,3.0,0.0,2.0,1.0,3.0,1.0,3.0,-5.0,0.7333333333333333,0.26666666666666666
2013,Santos FC,Atlético Mineiro,1,0,2,13736.0,11520.0,103.75,46.1,0.8,0.6,1.0,2.0,2.0,1.0,3.0,1.0,-2.0,-2.0,0.3333333333333333,0.26666666666666666
2013,Grêmio Porto Alegre,São Paulo FC,1,1,1,14460.0,14786.0,77.65,115.8,1.0,1.6,2.0,1.0,2.0,2.0,1.0,2.0,1.0,5.0,0.5333333333333333,0.5333333333333333
